,Admission.Year,Admission.Month,V1,,
5,2008,JANUARY,2280,"JANUARY 1, 2008","JANUARY 1, 2008"
4,2008,FEBRUARY,2112,"FEBRUARY 1, 2008","FEBRUARY 1, 2008"
8,2008,MARCH,2464,"MARCH 1, 2008","MARCH 1, 2008"
1,2008,APRIL,2195,"APRIL 1, 2008","APRIL 1, 2008"
9,2008,MAY,2304,"MAY 1, 2008","MAY 1, 2008"
7,2008,JUNE,2265,"JUNE 1, 2008","JUNE 1, 2008"
6,2008,JULY,2213,"JULY 1, 2008","JULY 1, 2008"
2,2008,AUGUST,2163,"AUGUST 1, 2008","AUGUST 1, 2008"
12,2008,SEPTEMBER,2117,"SEPTEMBER 1, 2008","SEPTEMBER 1, 2008"
11,2008,OCTOBER,2200,"OCTOBER 1, 2008","OCTOBER 1, 2008"
10,2008,NOVEMBER,1729,"NOVEMBER 1, 2008","NOVEMBER 1, 2008"
3,2008,DECEMBER,2022,"DECEMBER 1, 2008","DECEMBER 1, 2008"
17,2009,JANUARY,1989,"JANUARY 1, 2009","JANUARY 1, 2009"
16,2009,FEBRUARY,1956,"FEBRUARY 1, 2009","FEBRUARY 1, 2009"
20,2009,MARCH,2209,"MARCH 1, 2009","MARCH 1, 2009"
13,2009,APRIL,2288,"APRIL 1, 2009","APRIL 1, 2009"
21,2009,MAY,1892,"MAY 1, 2009","MAY 1, 2009"
19,2009,JUNE,2214,"JUNE 1, 2009","JUNE 1, 2009"
18,2009,JULY,2252,"JULY 1, 2009","JULY 1, 2009"
14,2009,AUGUST,2066,"AUGUST 1, 2009","AUGUST 1, 2009"
24,2009,SEPTEMBER,1851,"SEPTEMBER 1, 2009","SEPTEMBER 1, 2009"
23,2009,OCTOBER,2085,"OCTOBER 1, 2009","OCTOBER 1, 2009"
22,2009,NOVEMBER,1772,"NOVEMBER 1, 2009","NOVEMBER 1, 2009"
15,2009,DECEMBER,2062,"DECEMBER 1, 2009","DECEMBER 1, 2009"
29,2010,JANUARY,1729,"JANUARY 1, 2010","JANUARY 1, 2010"
28,2010,FEBRUARY,1691,"FEBRUARY 1, 2010","FEBRUARY 1, 2010"
32,2010,MARCH,2245,"MARCH 1, 2010","MARCH 1, 2010"
25,2010,APRIL,2030,"APRIL 1, 2010","APRIL 1, 2010"
33,2010,MAY,2028,"MAY 1, 2010","MAY 1, 2010"
31,2010,JUNE,2184,"JUNE 1, 2010","JUNE 1, 2010"
30,2010,JULY,2020,"JULY 1, 2010","JULY 1, 2010"
26,2010,AUGUST,2090,"AUGUST 1, 2010","AUGUST 1, 2010"
36,2010,SEPTEMBER,1841,"SEPTEMBER 1, 2010","SEPTEMBER 1, 2010"
35,2010,OCTOBER,1878,"OCTOBER 1, 2010","OCTOBER 1, 2010"
34,2010,NOVEMBER,1963,"NOVEMBER 1, 2010","NOVEMBER 1, 2010"
27,2010,DECEMBER,2063,"DECEMBER 1, 2010","DECEMBER 1, 2010"
41,2011,JANUARY,1840,"JANUARY 1, 2011","JANUARY 1, 2011"
40,2011,FEBRUARY,1845,"FEBRUARY 1, 2011","FEBRUARY 1, 2011"
44,2011,MARCH,2163,"MARCH 1, 2011","MARCH 1, 2011"
37,2011,APRIL,2107,"APRIL 1, 2011","APRIL 1, 2011"
45,2011,MAY,1971,"MAY 1, 2011","MAY 1, 2011"
43,2011,JUNE,2084,"JUNE 1, 2011","JUNE 1, 2011"
42,2011,JULY,1837,"JULY 1, 2011","JULY 1, 2011"
38,2011,AUGUST,2095,"AUGUST 1, 2011","AUGUST 1, 2011"
48,2011,SEPTEMBER,1908,"SEPTEMBER 1, 2011","SEPTEMBER 1, 2011"
47,2011,OCTOBER,2017,"OCTOBER 1, 2011","OCTOBER 1, 2011"
46,2011,NOVEMBER,1686,"NOVEMBER 1, 2011","NOVEMBER 1, 2011"
39,2011,DECEMBER,2082,"DECEMBER 1, 2011","DECEMBER 1, 2011"
53,2012,JANUARY,1944,"JANUARY 1, 2012","JANUARY 1, 2012"
52,2012,FEBRUARY,1777,"FEBRUARY 1, 2012","FEBRUARY 1, 2012"
56,2012,MARCH,2182,"MARCH 1, 2012","MARCH 1, 2012"
49,2012,APRIL,2092,"APRIL 1, 2012","APRIL 1, 2012"
57,2012,MAY,1973,"MAY 1, 2012","MAY 1, 2012"
55,2012,JUNE,2106,"JUNE 1, 2012","JUNE 1, 2012"
54,2012,JULY,2029,"JULY 1, 2012","JULY 1, 2012"
50,2012,AUGUST,2092,"AUGUST 1, 2012","AUGUST 1, 2012"
60,2012,SEPTEMBER,1632,"SEPTEMBER 1, 2012","SEPTEMBER 1, 2012"
59,2012,OCTOBER,1952,"OCTOBER 1, 2012","OCTOBER 1, 2012"
